env,actor_0_alpha,actor_0_seed,actor_1_alpha,actor_1_seed,algorithm,n_eval_episodes,mean_reward,mean_KL,q_output_diff,jacobian_diff
HalfCheetah-v4,0.0,5,0.0,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,10305.968129039127,9485.04296875,1305.2745092773437,1063.992178450928
HalfCheetah-v4,0.0,2,0.0,1,code/cleanrl/cleanrl/sac_continuous_action.py,25,11447.44019776568,4442.58154296875,141.6076708984375,1274.9981284707642
HalfCheetah-v4,0.0,2,0.0,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,11458.382803197741,8117.96484375,574.695537109375,1356.9190983682251
HalfCheetah-v4,0.0,2,0.0,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,11476.442325309403,8830.3212890625,897.4679956054688,1443.1661697839354
HalfCheetah-v4,0.0,1,0.0,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,12711.263946489848,9638.9716796875,740.21427734375,2697.436000646973
HalfCheetah-v4,0.0,1,0.0,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,12650.899219815792,8842.7646484375,1551.933037109375,1414.4770370349122
HalfCheetah-v4,0.0,4,0.0,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,10065.65443564452,11311.13671875,1011.1761499023437,3984.842379760743
HalfCheetah-v4,0.3,1,0.3,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,14197.552754365555,4.323418617248535,210.46221801757812,56.80589446712733
HalfCheetah-v4,0.3,1,0.3,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,14064.07432499213,4.403200149536133,178.6576123046875,70.6883321402168
HalfCheetah-v4,0.3,1,0.3,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,14200.977481250693,2.7213869094848633,157.01373779296875,53.0997608208275
HalfCheetah-v4,0.3,1,0.3,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,14110.38131963848,2.697330951690674,136.000947265625,63.010649159417135
HalfCheetah-v4,0.3,5,0.3,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,13335.608036082114,0.6777565479278564,160.65402587890625,37.38352212373257
HalfCheetah-v4,0.3,5,0.3,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,13158.762317543731,5.880919933319092,168.11564453125,54.378645238533025
HalfCheetah-v4,0.3,5,0.3,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,13408.01167186216,0.6803905367851257,314.9975219726563,38.41095507123947
HalfCheetah-v4,0.3,2,0.3,4,code/cleanrl/cleanrl/sac_continuous_action.py,25,14379.906522766601,5.329911231994629,421.210087890625,59.30418404494524
HalfCheetah-v4,0.3,2,0.3,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,14788.152327537944,19.845245361328125,653.1171228027343,46.00314938265562
HalfCheetah-v4,0.3,4,0.3,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,15417.364700974795,3.6471118927001953,180.9227490234375,55.26613572437287
HalfCheetah-v4,0.5,1,0.5,5,code/cleanrl/cleanrl/sac_continuous_action.py,25,11989.619329982394,0.1370518058538437,68.51402954101563,27.50083479103088
HalfCheetah-v4,0.5,1,0.5,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,11404.275796492426,0.1638859212398529,757.0545361328125,27.74121537150383
HalfCheetah-v4,0.5,1,0.5,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,12036.31111861398,0.6823571920394897,126.72599365234375,39.61094273832321
HalfCheetah-v4,0.5,5,0.5,3,code/cleanrl/cleanrl/sac_continuous_action.py,25,12187.590203178315,0.14777371287345886,50.6180908203125,27.22835260434151
HalfCheetah-v4,0.5,5,0.5,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,12308.475055226372,0.5866430401802063,84.39804931640624,39.283267466106416
HalfCheetah-v4,0.5,3,0.5,2,code/cleanrl/cleanrl/sac_continuous_action.py,25,11926.952781166565,0.5714004635810852,91.25240478515624,38.76076951835632
